r,phi,dphi,V,dV
3.807928e+000,1.604433e-005,-4.761741e-003,1.388955e-021,3.279601e-016
3.808250e+000,1.451022e-005,-4.760533e-003,9.291764e-022,2.425932e-016
3.808541e+000,1.312280e-005,-4.759440e-003,6.215957e-022,1.794469e-016
3.808805e+000,1.186804e-005,-4.758452e-003,4.158317e-022,1.327373e-016
3.809043e+000,1.073325e-005,-4.757558e-003,2.781807e-022,9.818613e-017
3.809259e+000,9.706969e-006,-4.756749e-003,1.860957e-022,7.262851e-017
3.809454e+000,8.778816e-006,-4.756019e-003,1.244931e-022,5.372346e-017
3.809631e+000,7.939409e-006,-4.755357e-003,8.328263e-023,3.973935e-017
3.809790e+000,7.180264e-006,-4.754760e-003,5.571387e-023,2.939527e-017
3.809935e+000,6.493706e-006,-4.754219e-003,3.727109e-023,2.174373e-017
3.810065e+000,5.872794e-006,-4.753730e-003,2.493336e-023,1.608387e-017
3.810184e+000,5.311252e-006,-4.753288e-003,1.667974e-023,1.189726e-017
3.810290e+000,4.803403e-006,-4.752888e-003,1.115830e-023,8.800419e-018
3.810387e+000,4.344113e-006,-4.752527e-003,7.464597e-024,6.509680e-018
3.810474e+000,3.928740e-006,-4.752200e-003,4.993611e-024,4.815218e-018
3.810553e+000,3.553083e-006,-4.751904e-003,3.340589e-024,3.561822e-018
3.810625e+000,3.213345e-006,-4.751636e-003,2.234762e-024,2.634683e-018
3.810690e+000,2.906093e-006,-4.751394e-003,1.494994e-024,1.948878e-018
3.810748e+000,2.628219e-006,-4.751176e-003,1.000110e-024,1.441587e-018
3.810801e+000,2.376914e-006,-4.750978e-003,6.690459e-025,1.066343e-018
3.810849e+000,2.149639e-006,-4.750799e-003,4.475732e-025,7.887746e-019
3.810892e+000,1.944096e-006,-4.750637e-003,2.994140e-025,5.834572e-019
3.810931e+000,1.758205e-006,-4.750491e-003,2.002996e-025,4.315837e-019
3.810967e+000,1.590090e-006,-4.750358e-003,1.339949e-025,3.192428e-019
3.810999e+000,1.438049e-006,-4.750239e-003,8.963883e-026,2.361441e-019
3.811028e+000,1.300546e-006,-4.750130e-003,5.996588e-026,1.746759e-019
3.811054e+000,1.176190e-006,-4.750033e-003,4.011549e-026,1.292079e-019
3.811077e+000,1.063726e-006,-4.749944e-003,2.683614e-026,9.557515e-020
3.811099e+000,9.620144e-007,-4.749864e-003,1.795263e-026,7.069699e-020
3.811118e+000,8.700287e-007,-4.749792e-003,1.200980e-026,5.229460e-020
3.811136e+000,7.868384e-007,-4.749726e-003,8.034222e-027,3.868234e-020
