scale_mu,g1,g2,g3,yt,lambda
77177.98000128649,0.479447920377336,0.6227188640500503,0.8811844381493648,0.7194627123842813,0.05040283832227166
81134.97965203936,0.4795928531802008,0.6224824592095097,0.8796458119585685,0.7182659571699125,0.05002087734913218
85294.85901324588,0.4797379124911296,0.6222463069806697,0.8781153145186598,0.7170749943669621,0.04964133868296337
89668.01995009345,0.4798830985321533,0.6220104070240497,0.8765928740077044,0.7158897728567101,0.04926420181620648
94265.39764280201,0.4800284115254208,0.6217747589995641,0.8750784194932394,0.7147102421656027,0.0488894464988095
99098.48793027042,0.4801738516932046,0.6215393625665455,0.8735718809181116,0.7135363524547181,0.04851705273387157
104179.3760556616,0.4803194192579063,0.6213042173837677,0.8720731890865906,0.7123680545094427,0.04814700077337818
109520.7668858056,0.4804651144420617,0.6210693231094681,0.8705822756507524,0.7112052997293529,0.04777927111402509
115136.0166799839,0.4806109374683459,0.6208346794013694,0.8690990730971241,0.7100480401182975,0.04741384449312851
121039.1664875349,0.4807568885595788,0.6206002859167017,0.8676235147335868,0.708896228274676,0.04705070188461983
127244.977257791,0.4809029679387299,0.6203661423122231,0.8661555346765288,0.7077498173819087,0.04668982449512241
133768.9667501403,0.4810491758289236,0.6201322482442405,0.8646950678382447,0.7066087611990924,0.04633119376010883
140627.448336508,0.4811955124534439,0.61989860336863,0.8632420499145735,0.7054730140518407,0.04597479134013645
147837.5717932836,0.4813419780357392,0.6196652073408564,0.8617964173727728,0.7043425308233007,0.04562059911715945
155417.3661846945,0.4814885727994276,0.619432059815993,0.8603581074396198,0.7032172669453453,0.04526859919091548
163385.7849448579,0.4816352969683012,0.6191991604487405,0.8589270580897388,0.702097178389935,0.04491877387538532
171762.7532712382,0.4817821507663311,0.6189665088934455,0.8575032080341461,0.7009822216606471,0.04457110569532351
180569.2179480192,0.4819291344176719,0.6187341048041193,0.8560864967090103,0.6998723537843659,0.04422557738285857
189827.1997239755,0.4820762481466662,0.6185019478344551,0.8546768642646209,0.6987675323031333,0.04388217187416103
199559.8483758144,0.4822234921778494,0.6182700376378463,0.8532742515545632,0.6976677152661541,0.04354087230617763
209791.5005946757,0.4823708667359541,0.6180383738674032,0.8518786001250925,0.6965728612219532,0.04320166201343024
220547.7408405361,0.4825183720459144,0.6178069561759703,0.8504898522047054,0.6954829292106809,0.042864524524878
231855.4653166858,0.4826660083328703,0.6175757842161422,0.8491079506939015,0.6943978787565642,0.0425294435608411
243742.9492242456,0.4828137758221722,0.6173448576402808,0.847732839155134,0.6933176698604991,0.04219640302998486
256239.9174648985,0.4829616747393849,0.6171141761005302,0.846364461802943,0.6922422629927821,0.04186538702636267
269377.6189686259,0.4831097053102923,0.6168837392488328,0.8450027634942693,0.6911716190859768,0.04153637982651658
283188.9048323105,0.483257867760901,0.6166535467369445,0.8436476897189427,0.6901056995279141,0.0412093658866339
297708.3104645888,0.4834061623174448,0.6164235982164498,0.8422991865903433,0.6890444661548214,0.04088432983975893
312972.1419423622,0.4835545892063886,0.6161938933387758,0.8409572008362309,0.687987881244579,0.04056125649305827
329018.5667948999,0.4837031486544326,0.6159644317552078,0.8396216797897387,0.6869359075101004,0.04024013082513859
345887.7094425428,0.4838518408885163,0.615735213116902,0.8382925713805285,0.6858885080928345,0.03992093798341569
363621.7515286538,0.4840006661358224,0.6155062370749005,0.836969824126104,0.6848456465563864,0.03960366328153374
382265.0373956984,0.4841496246237806,0.615277503280144,0.8356533871232783,0.6838072868802539,0.03928829219683341
401864.184969198,0.4842987165800718,0.6150490113834856,0.8343432100397925,0.6827733934536789,0.03897481036786798
422468.2023268264,0.4844479422326314,0.6148207610357034,0.8330392431060827,0.6817439310696091,0.03866320359196625
444128.610244131,0.4845973018096537,0.6145927518875138,0.8317414371071919,0.6807188649187688,0.03835345782284128
466899.5710233078,0.4847467955395954,0.6143649835895835,0.8304497433748241,0.6796981605838368,0.03804555916824384
490838.0239271685,0.4848964236511791,0.6141374557925419,0.829164113779537,0.6786817840337284,0.03773949388765968
516003.8275569559,0.4850461863733973,0.6139101681469932,0.827884500723071,0.6776697016179788,0.03743524839004971
542459.9095300263,0.4851960839355161,0.6136831203035282,0.8266108571308119,0.6766618800612278,0.03713280923163188
570272.4238316698,0.4853461165670785,0.6134563119127359,0.8253431364443843,0.6756582864578017,0.03683216311370422
599510.9162345327,0.4854962844979081,0.6132297426252143,0.8240812926143719,0.6746588882663901,0.03653329688050785
630248.4981992723,0.4856465879581129,0.6130034120915824,0.8228252800931647,0.6736636533048187,0.03623619751712924
662562.0296912921,0.4857970271780884,0.6127773199624902,0.8215750538279279,0.6726725497449118,0.03594085214744079
696532.311370689,0.4859476023885215,0.6125514658886299,0.8203305692536916,0.6716855461074458,0.03564724803207899
732244.2866359908,0.4860983138203937,0.6123258495207462,0.819091782286558,0.670702611257191,0.03535537256645929
769787.2540268983,0.4862491617049844,0.6121004705096467,0.8178586493170246,0.6697237143980389,0.03506521327882688
809255.0905171469,0.4864001462738748,0.6118753285062115,0.8166311272034201,0.6687488250682146,0.03477675782834269
850746.4862558402,0.4865512677589506,0.6116504231614036,0.8154091732654519,0.6677779131355721,0.03448999400320375
894365.1913442278,0.486702526392406,0.6114257541262782,0.8141927452778615,0.6668109487929698,0.03420490971879732
