phi,lambda_eff,V
147041504.0280676,0.003629709426180832,4.242009268757774e+029
162505994.0019237,0.003710446112166116,6.469097178979179e+029
179596898.583902,0.003791190486034397,9.860772635373253e+029
198485269.2915102,0.003871937619292463,1.502385847529681e+030
219360147.2873908,0.003952682717810271,2.288036138982159e+030
242430455.3668153,0.00403342111831822,3.483070664310782e+030
267927088.927241,0.004114148285006091,5.300129135941926e+030
296105226.847055,0.004194859806220365,8.061980702530603e+030
327246885.4015582,0.004275551391256646,1.225841237063288e+031
361663740.7766368,0.004356218867244103,1.863243351926239e+031
399700248.4287893,0.004436858176118954,2.831087082344046e+031
441737090.5111102,0.004517465371684072,4.300216352823231e+031
488194985.8682297,0.00459803661675198,6.529586694166446e+031
539538900.7319201,0.004678568180368534,9.911605831257644e+031
596282702.2594227,0.004759056435114722,1.504075743520668e+032
658994301.4886751,0.004839497854484088,2.281744156044897e+032
728301337.1828603,0.004919889010333417,3.460507090714151e+032
804897457.4501046,0.005000226570404311,5.246768642572254e+032
889549262.0068879,0.005080507295913497,7.952928956139435e+032
983103974.5656685,0.005160728039209667,1.205171323944146e+033
1086497922.134559,0.005240885741494796,1.825829840221188e+033
1200765906.092736,0.005320977430607944,2.765443682702091e+033
1327051558.830448,0.005401000218869599,4.187601912243139e+033
1466618789.606368,0.005480951300984712,6.339644871597785e+033
1620864434.176267,0.005560827952002604,9.595469705165658e+033
1791332234.794753,0.005640627525332045,1.452017983499081e+034
1979728290.506621,0.00572034745080978,2.196770935742607e+034
2187938132.359538,0.005799985232820935,3.322821762681602e+034
2418045594.432512,0.005879538448469699,5.025059238590489e+034
2672353669.547758,0.005959004745798787,7.597828305269926e+034
2953407558.396926,0.006038381842056234,1.148561115546384e+035
3264020142.765092,0.006117667522008091,1.735949951441258e+035
3607300137.797108,0.006196859636295669,2.623256643087495e+035
3986683205.063646,0.00627595609983602,3.963390024738988e+035
4405966337.816961,0.006354954890264376,5.987109205979241e+035
